#Frequenz HF-Spule        Horizontal mag. field         Sweep-Field        Horizontal mag. field         Sweep-Field
100     0         5.82      0         6.95
200     0         8.19      0.07      7.99
300     0.05      8.65      0.16      7.16
400     0.115     8.17      0.27      6.36
500     0.18      7.84      0.32      7.43
600     0.24      7.43      0.38      8.49
700     0.30      7.33      0.475     7.81
800     0.34      7.71      0.59      6.38
900     0.39      7.84      0.65      7.24
1000    0.45      7.59      0.73      7.44
